,V1,V2,mean,variance
524,2.7049,3.1,0.383298,0.000054
525,2.7049,3.2,0.397188,0.000057
526,2.7049,3.3,0.410983,0.000060
527,2.7049,3.4,0.424668,0.000063
528,2.7049,3.5,0.438227,0.000066
529,2.7049,3.6,0.451646,0.000068
530,2.7049,3.7,0.464913,0.000071
531,2.7049,3.8,0.478017,0.000073
532,2.7049,3.9,0.490946,0.000076
533,2.7049,4,0.503688,0.000078
534,2.928,0,0.041473,0.000000
535,2.928,0.1,0.046633,0.000000
536,2.928,0.2,0.052227,0.000000
537,2.928,0.3,0.058269,0.000001
538,2.928,0.4,0.064769,0.000001
539,2.928,0.5,0.071738,0.000001
540,2.928,0.6,0.079182,0.000001
541,2.928,0.7,0.087103,0.000002
542,2.928,0.8,0.095504,0.000002
543,2.928,0.9,0.104382,0.000003
544,2.928,1,0.113732,0.000004
545,2.928,1.1,0.123543,0.000005
546,2.928,1.2,0.133806,0.000006
547,2.928,1.3,0.144503,0.000008
548,2.928,1.4,0.155618,0.000009
549,2.928,1.5,0.167128,0.000011
550,2.928,1.6,0.179010,0.000013
551,2.928,1.7,0.191237,0.000016
552,2.928,1.8,0.203783,0.000018
553,2.928,1.9,0.216616,0.000021
554,2.928,2,0.229706,0.000024
555,2.928,2.1,0.243023,0.000027
556,2.928,2.2,0.256533,0.000031
557,2.928,2.3,0.270205,0.000034
558,2.928,2.4,0.284007,0.000038
559,2.928,2.5,0.297910,0.000042
560,2.928,2.6,0.311883,0.000046
561,2.928,2.7,0.325898,0.000050
562,2.928,2.8,0.339928,0.000054
563,2.928,2.9,0.353949,0.000058
564,2.928,3,0.367936,0.000062
565,2.928,3.1,0.381870,0.000066
566,2.928,3.2,0.395729,0.000070
567,2.928,3.3,0.409496,0.000074
568,2.928,3.4,0.423154,0.000078
569,2.928,3.5,0.436689,0.000082
570,2.928,3.6,0.450086,0.000085
571,2.928,3.7,0.463334,0.000088
572,2.928,3.8,0.476419,0.000091
573,2.928,3.9,0.489332,0.000094
574,2.928,4,0.502061,0.000097
575,3.2157,0,0.041362,0.000000
576,3.2157,0.1,0.046500,0.000000
577,3.2157,0.2,0.052069,0.000000
578,3.2157,0.3,0.058083,0.000001
579,3.2157,0.4,0.064554,0.000001
580,3.2157,0.5,0.071490,0.000001
581,3.2157,0.6,0.078898,0.000002
582,3.2157,0.7,0.086783,0.000002
583,3.2157,0.8,0.095144,0.000003
584,3.2157,0.9,0.103980,0.000004
585,3.2157,1,0.113286,0.000005
586,3.2157,1.1,0.123052,0.000006
587,3.2157,1.2,0.133267,0.000008
588,3.2157,1.3,0.143916,0.000010
589,3.2157,1.4,0.154981,0.000012
590,3.2157,1.5,0.166440,0.000014
591,3.2157,1.6,0.178271,0.000017
592,3.2157,1.7,0.190447,0.000020
593,3.2157,1.8,0.202941,0.000024
594,3.2157,1.9,0.215723,0.000027
595,3.2157,2,0.228762,0.000031
596,3.2157,2.1,0.242028,0.000036
597,3.2157,2.2,0.255489,0.000040
598,3.2157,2.3,0.269112,0.000045
599,3.2157,2.4,0.282868,0.000050
